S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
244.,AWL Agri Busine.,259.35,27.39,33707.18,0.00,190.66,21.39,18229.59,37.86,20.89
245.,LIC Housing Fin.,610.55,6.14,33584.06,1.49,1373.62,26.98,7305.52,5.14,8.93
246.,Go Digit General,354.95,77.11,32766.81,0.00,115.61,119.54,2594.55,15.00,10.65
247.,Exide Inds.,385.35,41.14,32754.75,0.52,187.91,1.15,4335.42,3.89,8.87
248.,Apar Inds.,8080.00,39.51,32455.99,0.64,249.97,5.82,5209.76,16.94,32.09
249.,Ajanta Pharma,2581.60,35.14,32247.32,1.39,225.26,11.12,1170.41,11.04,32.37
250.,3M India,28475.00,67.40,32091.33,0.56,71.37,-55.74,1198.23,16.03,36.98
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
251.,NLC India,227.85,12.09,31594.52,1.32,468.46,311.11,3836.00,8.34,10.75
252.,Gujarat Gas,455.30,27.29,31342.41,1.24,287.88,-21.98,4102.01,-0.78,19.16
253.,New India Assura,189.95,30.17,31303.76,1.11,356.16,14.57,11664.22,-0.19,3.56
254.,ITI,323.65,,31099.16,0.00,-4.84,71.85,1045.70,73.91,-1.33
255.,AIA Engineering,3291.10,29.25,31041.79,0.49,285.35,9.50,1157.04,0.59,19.09
